,0,1,2
725,Kentucky,Washington,17678.55516155332
1588,Texas,Hockley,2188.2750987669633
102,Arkansas,Faulkner,314.13116337456086
1147,North Carolina,Perquimans,8383.478337606852
1693,Texas,Sterling,1339.1687801112403
1252,Ohio,Summit,4301.251874349788
1854,Virginia,Scott,1687.0777046023313
25,Alabama,Escambia,38.83611888386713
1187,Ohio,Clark,1462.8882648029967
1111,North Carolina,Gaston,1169.863333707165
97,Arkansas,Crittenden,230.64537298262076
1023,Missouri,Newton,1801.3872578820174
841,Michigan,Manistee,4846.05032608124
1679,Texas,Sabine,1788.9882723306082
57,Alabama,Sumter,1746.797053868122
1415,Tennessee,Grundy,4561.956733656103
516,Iowa,Appanoose,10090.407393638583
578,Iowa,Mitchell,3029.036796090656
984,Missouri,Douglas,-359.6041677226567
368,Georgia,Wheeler,2923.440228433755
827,Michigan,Isabella,-246.83137715533212
319,Georgia,Morgan,1243.1085753124798
182,Florida,Indian River,11820.636611894168
1559,Texas,Franklin,8325.836296340902
1078,North Carolina,Alexander,2381.5605525958727
537,Iowa,Dallas,30115.951650531228
824,Michigan,Ionia,850.3213730232783
451,Illinois,Iroquois,1785.034786563995
579,Iowa,Monona,1061.7217346444759
970,Missouri,Cass,3849.8636307574234
1832,Virginia,Nelson,2897.5765535112314
439,Illinois,Fayette,1684.4064152110886
156,Florida,Bay,1745.0519042526275
617,Kentucky,Bell,3091.9382366358095
1071,Nevada,Mineral,4403.500067298035
265,Georgia,Echols,2124.3799222003454
1072,Nevada,Nye,1936.598169847237
1317,Oklahoma,Oklahoma,3314.607975891211
1288,Oklahoma,Garvin,930.2787456757769
1275,Oklahoma,Choctaw,424.65901406928515
473,Illinois,McDonough,1659.3092362860125
1238,Ohio,Paulding,1032.5408737116277
1406,Tennessee,Dickson,1116.0249560615403
111,Arkansas,Independence,2320.3152486985555
1755,Utah,Uintah,10041.883032546819
198,Florida,Okeechobee,2628.136383428373
1208,Ohio,Hardin,1786.1893969446483
11,Alabama,Choctaw,2625.280963965448
1815,Virginia,Henry,4492.633044082628
1507,Texas,Caldwell,1447.1133045566676
1414,Tennessee,Greene,1130.1415507281545
402,Idaho,Latah,513.5407404489861
447,Illinois,Hancock,2394.3349127636584
1829,Virginia,Mecklenburg,38005.79148185415
776,Louisiana,Vernon,3127.383633383497
822,Michigan,Huron,542.1340842758982
190,Florida,Liberty,1471.9645659217485
1468,Tennessee,Tipton,636.5732072596675
1534,Texas,Culberson,-342.2649447279432
1819,Virginia,King and Queen,1193.684753681062
69,Arizona,Graham,1130.792109381715
142,Arkansas,Scott,10661.54304176275
1477,Tennessee,White,3324.6329481356324
1411,Tennessee,Gibson,1327.8589195009517
1144,North Carolina,Pamlico,1204.0786758778022
543,Iowa,Dubuque,3177.40795321307
767,Louisiana,Rapides,9169.600761982369
901,Mississippi,Jasper,1968.67657481255
27,Alabama,Fayette,2385.9481540650295
981,Missouri,Dallas,2503.1233954293757
391,Idaho,Clark,-591.8385892081715
1506,Texas,Burnet,1194.7523041350541
1675,Texas,Robertson,2115.368316433055
1263,Ohio,Wyandot,4450.83157518937
1218,Ohio,Lake,304.1138364794833
304,Georgia,Liberty,1156.4141026959678
46,Alabama,Marshall,2402.417321169337
452,Illinois,Jackson,1074.8678846533294
826,Michigan,Iron,234.67651869636484
125,Arkansas,Miller,2504.5043459156796
1424,Tennessee,Henry,1772.8518828563056
