,0,1,2
57,Alabama,Sumter,3624.4999634762817
110,Arkansas,Howard,862.009940450369
883,Mississippi,Clarke,525.7036592823688
1810,Virginia,Greensville,492.00231327075835
915,Mississippi,Marion,2286.0652626185956
1527,Texas,Concho,1287.5270405702622
1396,Tennessee,Cheatham,952.6690621850821
1093,North Carolina,Caswell,515.3411581190676
1847,Virginia,Pulaski,1852.2783527357597
1341,South Carolina,Aiken,979.5950700334915
42,Alabama,Macon,683.5239911293565
523,Iowa,Buena Vista,4433.9594275350055
23,Alabama,Dallas,-696.2038785879658
1508,Texas,Calhoun,177.99418531919764
371,Georgia,Wilcox,4357.764348607733
793,Michigan,Allegan,-550.9587726035224
1011,Missouri,Madison,32.50706302487015
1866,Virginia,Washington,2248.013054569912
1840,Virginia,Page,5440.844939411828
1742,Utah,Iron,443.06074127104057
280,Georgia,Grady,4011.7339013881747
863,Michigan,Saginaw,1404.2393539322793
871,Michigan,Wexford,1421.527384219834
1152,North Carolina,Richmond,1474.8510446248756
1852,Virginia,Rockingham,5224.942925216882
330,Georgia,Polk,562.1703974749335
1419,Tennessee,Hardeman,2206.3608376706097
1788,Virginia,Carroll,1912.7211805125753
308,Georgia,Lumpkin,2582.4594206031816
894,Mississippi,Harrison,1503.9042753371168
535,Iowa,Clinton,3954.7418319660164
547,Iowa,Franklin,20610.393344703243
1345,South Carolina,Barnwell,21684.335032795785
497,Illinois,Shelby,640.2478871004087
744,Louisiana,Claiborne,501.48659389400746
1170,North Carolina,Watauga,1186.5439795925377
797,Michigan,Baraga,1467.6887167459072
1473,Tennessee,Warren,38.51254974004223
1649,Texas,Morris,463.9912803016796
593,Iowa,Scott,368.633308535118
1376,South Carolina,Oconee,1633.9982411779401
673,Kentucky,Laurel,6344.103662699053
1666,Texas,Presidio,2581.7600093099
1025,Missouri,Oregon,1386.7916029868893
1699,Texas,Terrell,965.9553125283301
1039,Missouri,Ray,2593.171989052038
70,Arizona,Greenlee,-62.66064263361295
1073,Nevada,Pershing,2802.9759547587328
