,state,county,votes,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,score
1663,Texas,Knox,17,3858,3719,3.7,3719,7.5,26.1,20.7,50.3,90.4,6.1,1.3,0.2,0.1,2.0,33.6,59.3,84.9,7.9,21.6,78.6,12.5,279,14.6,2044,65.9,8.7,40900,1557,2.31,19396,34295,20.8,98,707,-4.3,249,368,0.0,0.0,0.0,0.0,0.0,0.0,0,41626,34309,9896,1406,0,850.62,4.4,44031.75
1664,Texas,Lamar,388,49523,49789,-0.5,49793,6.5,23.7,18.4,51.7,81.4,13.5,1.7,0.7,0.0,2.7,7.5,74.8,81.4,4.2,7.3,83.1,16.5,3800,19.9,22582,65.2,14.4,85300,19416,2.5,21468,40104,19.1,1187,15563,-6.7,3748,5469,0.0,0.0,0.0,0.0,0.0,31.5,2411601,0,637577,13019,61073,43,907.19,54.9,44031.75
1665,Texas,Lamb,87,13574,13977,-2.9,13977,8.3,28.3,16.3,50.0,91.0,5.1,1.8,0.4,0.1,1.7,54.0,40.3,83.1,9.8,36.9,70.2,14.0,597,14.5,6102,71.4,8.0,56900,4803,2.85,18744,36727,22.1,245,2536,-1.8,716,1038,0.0,0.0,0.0,0.0,0.0,15.9,0,84216,95775,6933,6963,7,1016.18,13.8,44031.75
1666,Texas,Lampasas,205,20156,19677,2.4,19677,5.9,23.4,18.0,50.8,90.2,4.1,1.2,1.3,0.3,2.9,18.9,73.1,83.2,7.1,14.8,86.0,19.8,3231,28.4,9001,74.9,6.3,129100,7289,2.68,23423,49277,16.9,386,3613,1.9,1376,1639,0.0,0.0,0.0,0.0,0.0,29.0,0,11547,207126,10008,16104,236,712.84,27.6,44031.75
1667,Texas,La Salle,156,7474,6886,8.5,6886,6.7,20.7,13.2,41.3,96.8,1.1,0.8,0.5,0.0,0.8,84.4,13.9,82.5,7.7,62.4,52.9,5.1,267,27.6,2878,71.1,13.6,48200,1864,3.29,13307,26756,21.7,125,1856,6.7,592,424,0.0,0.0,0.0,0.0,34.7,30.2,0,0,79867,13480,5336,24,1486.69,4.6,44031.75
1668,Texas,Lee,179,16742,16610,0.8,16612,5.7,22.6,17.7,49.7,85.5,11.3,1.1,0.5,0.2,1.4,22.9,64.2,84.2,7.2,18.4,81.6,15.7,1392,27.4,7599,76.7,5.5,118400,6078,2.63,25123,51534,12.4,421,5426,15.4,1296,1826,0.0,0.0,0.0,0.0,0.0,14.0,128453,58172,162558,10056,13214,3,629.02,26.4,44031.75
1669,Texas,Leon,89,16861,16801,0.4,16801,6.7,22.3,23.4,50.4,89.5,7.5,0.8,0.8,0.0,1.4,14.2,76.3,90.0,5.6,10.0,82.9,14.8,1862,24.3,9537,83.9,3.1,90300,6349,2.63,24170,44452,17.7,362,4251,-0.2,1444,1647,0.0,0.0,0.0,0.0,0.0,0.0,0,92320,159859,9761,13118,0,1073.15,15.7,44031.75
1670,Texas,Liberty,378,78117,75643,3.3,75643,6.8,25.1,12.7,50.8,85.7,10.9,1.0,0.7,0.1,1.6,20.7,66.5,80.5,6.8,16.6,75.1,8.8,5416,34.1,29505,78.1,5.3,84400,24844,2.82,19740,47228,18.4,1031,12382,4.5,4662,5296,0.0,0.0,0.0,0.0,9.0,0.0,0,151545,653043,8729,48868,300,1158.42,65.3,44031.75
1671,Texas,Limestone,144,23524,23386,0.6,23384,6.3,23.1,17.5,48.1,78.5,18.1,1.1,0.6,0.1,1.6,20.8,59.6,85.4,9.5,17.5,79.3,12.4,1809,20.8,10555,75.2,6.5,83200,7929,2.72,19352,38823,21.5,407,5460,4.1,1326,1648,0.0,0.0,0.0,0.0,0.0,39.5,210827,27428,268348,11976,18247,4,905.29,25.8,44031.75
1672,Texas,Lipscomb,11,3553,3302,7.6,3302,6.2,26.7,14.4,48.8,93.2,1.8,2.1,0.5,0.2,2.3,31.6,64.5,84.0,12.9,23.7,81.6,21.5,235,19.4,1510,70.9,7.1,89400,1115,2.99,29017,57978,10.9,95,872,-2.8,318,318,0.0,0.0,0.0,0.0,0.0,0.0,0,47171,24490,8169,0,6,932.18,3.5,44031.75
1673,Texas,Live Oak,72,12091,11527,4.9,11531,4.9,20.0,19.8,46.2,92.3,4.9,1.2,0.7,0.0,0.9,37.5,56.3,88.4,5.1,28.4,79.6,14.3,1218,27.3,6106,81.8,2.9,85500,3882,2.58,21016,42829,17.1,283,3996,0.0,1025,1191,0.0,0.0,0.0,0.0,0.0,0.0,0,25250,112717,9981,11666,12,1039.7,11.1,44031.75
