sn,neg,neu,pos,compound
2680,0,0.806,0.194,0.481
2680,0,1,0,0
2681,0.107,0.893,0,-0.4585
2682,0.322,0.678,0,-0.7605
2683,0,1,0,0
2683,0.319,0.681,0,-0.7624
2683,0.865,0.135,0,-0.7506
2684,0,1,0,0
2685,0,1,0,0
2685,0,0.73,0.27,0.5719
2686,0.108,0.892,0,-0.3182
2687,0,0.517,0.483,0.4215
2687,0,1,0,0
2688,0.148,0.852,0,-0.3818
2689,0,0.908,0.092,0.3252
2690,0,0.893,0.107,0.34
2691,0.144,0.856,0,-0.4939
2691,0,0.238,0.762,0.4939
2692,0,1,0,0
2692,0,0.851,0.149,0.2732
2693,0,0.747,0.253,0.6633
2694,0,1,0,0
2695,0,1,0,0
2695,0,0.682,0.318,0.4215
2696,0.22,0.78,0,-0.4767
2696,0,1,0,0
2697,0,0.828,0.172,0.481
2697,0,1,0,0
2698,0,0.846,0.154,0.2732
2699,0,0.828,0.172,0.481
2699,0,1,0,0
2700,0,0.58,0.42,0.4404
2700,0,1,0,0
2701,0,1,0,0
2701,0.281,0.719,0,-0.5994
2702,0,0.828,0.172,0.481
2702,0,1,0,0
2703,0,1,0,0
2703,0.234,0.766,0,-0.6705
2704,0,1,0,0
2704,0.234,0.766,0,-0.6705
2705,0,0,0,0
2705,0.216,0.784,0,-0.6705
2706,0,0.779,0.221,0.481
2707,0,1,0,0
2707,0,0.851,0.149,0.2732
2708,0,0.828,0.172,0.481
2708,0,1,0,0
2709,0,1,0,0
2710,0,0.785,0.215,0.6249
2710,0,0,0,0
2710,0,1,0,0
2711,0,1,0,0
2711,0,0.851,0.149,0.2732
2712,0,1,0,0
2712,0,0.851,0.149,0.2732
2713,0,0.657,0.343,0.872
2714,0,0.843,0.157,0.4767
2715,0,0.657,0.343,0.872
2716,0,1,0,0
2716,0.155,0.687,0.158,0.0108
2717,0,1,0,0
2717,0,0.625,0.375,0.6597
2718,0,1,0,0
2718,0,0.851,0.149,0.2732
2719,0.148,0.852,0,-0.3818
2720,0,0.806,0.194,0.481
2720,0,1,0,0
2721,0,0,0,0
2721,0,1,0,0
2721,0,0.851,0.149,0.2732
2722,0,1,0,0
2723,0,1,0,0
2723,0.155,0.687,0.158,0.0108
2724,0,0.806,0.194,0.481
2724,0,1,0,0
2725,0,0,0,0
2725,0,1,0,0
2725,0.339,0.275,0.385,0.128
2726,0,0.806,0.194,0.481
2726,0,1,0,0
2727,0,0.837,0.163,0.481
2728,0,0.886,0.114,0.2023
2728,0,0.551,0.449,0.6908
2729,0.239,0.761,0,-0.6597
2729,0,1,0,0
2730,0,1,0,0
2731,0,0.806,0.194,0.481
2731,0,1,0,0
2732,0.056,0.66,0.285,0.765
2733,0,1,0,0
2733,0.394,0.423,0.183,-0.3612
2734,0,0.806,0.194,0.481
2734,0,1,0,0
2735,0,0.806,0.194,0.481
2735,0,1,0,0
2736,0,0.58,0.42,0.4404
2736,0,0.67,0.33,0.6611
2736,0.477,0.31,0.214,-0.4017
2736,0,0,0,0
2737,0,0.813,0.187,0.5994
2738,0,1,0,0
2739,0,0.806,0.194,0.481
2739,0,1,0,0
2740,0,1,0,0
2741,0.176,0.824,0,-0.4588
2741,0.365,0.635,0,-0.3182
2742,0,0.806,0.194,0.481
2742,0,1,0,0
2743,0,0.806,0.194,0.481
2743,0,1,0,0
2744,0,0.806,0.194,0.481
2744,0,1,0,0
2745,0,0.806,0.194,0.481
2745,0,1,0,0
2746,0,0.841,0.159,0.5563
2747,0,1,0,0
2748,0,0.806,0.194,0.481
2748,0,1,0,0
2749,0,0.806,0.194,0.481
2749,0,1,0,0
2750,0,1,0,0
2751,0,1,0,0
2751,0,0.805,0.195,0.5267
2752,0,0.865,0.135,0.3612
2752,0,1,0,0
2753,0.148,0.852,0,-0.3818
2754,0,0.806,0.194,0.481
2754,0,1,0,0
2755,0,0.806,0.194,0.481
2755,0,1,0,0
2756,0,0.765,0.235,0.6652
2757,0.273,0.727,0,-0.4588
2758,0,0.845,0.155,0.5106
2759,0.135,0.613,0.252,0.4404
2759,0.218,0.782,0,-0.4717
2760,0.105,0.714,0.181,0.3818
2761,0,1,0,0
2762,0,0.752,0.248,0.6808
2763,0.112,0.603,0.284,0.4588
2763,0,0.775,0.225,0.4404
2764,0,0.811,0.189,0.2732
2764,0,1,0,0
2765,0.148,0.852,0,-0.3818
2766,0,0.794,0.206,0.5622
2766,0,1,0,0
2767,0.148,0.852,0,-0.3818
2768,0,1,0,0
2768,0.39,0.61,0,-0.3724
2769,0,1,0,0
2770,0,1,0,0
2771,0,1,0,0
2772,0,1,0,0
2773,0,1,0,0
2774,0,1,0,0
2774,0.12,0.88,0,-0.128
2775,0.148,0.852,0,-0.3818
2776,0.13,0.524,0.346,0.7324
2777,0,1,0,0
2778,0,0.817,0.183,0.5859
2779,0.188,0.812,0,-0.5719
2779,0.521,0.211,0.268,-0.3802
2779,0,0,0,0
2780,0.153,0.847,0,-0.4019
2781,0.343,0.657,0,-0.7783
2781,0,1,0,0
2781,0,0,0,0
2782,0.091,0.909,0,-0.0772
2783,0.148,0.852,0,-0.3818
2784,0,1,0,0
2785,0,1,0,0
2785,0,0.805,0.195,0.5267
2786,0,1,0,0
2787,0.085,0.792,0.123,0.2263
2788,0.252,0.748,0,-0.5216
2788,0,1,0,0
2789,0,1,0,0
2790,0,1,0,0
2791,0,0.782,0.218,0.4199
2791,0.428,0.572,0,-0.4574
2791,0,1,0,0
2792,0.085,0.792,0.123,0.2263
2793,0,0.839,0.161,0.3612
2793,0.445,0.555,0,-0.3401
2793,0,1,0,0
2794,0.144,0.856,0,-0.4939
2795,0.144,0.856,0,-0.4939
2795,0,0.238,0.762,0.4939
2796,0.102,0.755,0.143,0.2732
2797,0.082,0.918,0,-0.2411
2798,0,1,0,0
2799,0,1,0,0
2799,0,0.351,0.649,0.5719
2800,0.146,0.728,0.126,-0.1027
2801,0.148,0.852,0,-0.3818
2802,0,1,0,0
2803,0,0.709,0.291,0.6249
2803,0,1,0,0
2804,0.142,0.858,0,-0.3595
2804,0,1,0,0
2805,0,1,0,0
2806,0.267,0.733,0,-0.7345
2807,0,0.888,0.112,0.2235
2807,0.178,0.822,0,-0.0772
2808,0,1,0,0
2809,0,1,0,0
2810,0,1,0,0
2811,0,1,0,0
2812,0.118,0.702,0.18,0.3382
2813,0,1,0,0
2814,0,1,0,0
2815,0.215,0.688,0.096,-0.5562
2815,0.341,0,0.659,0.4574
2816,0,0.849,0.151,0.4939
2816,0,1,0,0
2817,0,1,0,0
2818,0,1,0,0
2818,0,0.805,0.195,0.5267
2819,0,1,0,0
2819,0,0.805,0.195,0.5267
2820,0,1,0,0
2820,0,0.625,0.375,0.34
2820,0.333,0.667,0,-0.3612
2821,0.161,0.699,0.14,-0.1027
2822,0,1,0,0
2823,0.153,0.847,0,-0.4019
2824,0.148,0.852,0,-0.3818
2825,0.214,0.698,0.087,-0.5622
2826,0,1,0,0
2827,0,1,0,0
2827,0,0.625,0.375,0.34
2827,0.294,0.706,0,-0.3612
2828,0,1,0,0
2828,0,0.805,0.195,0.5267
2829,0,1,0,0
2830,0,0.61,0.39,0.7506
2830,0,0.602,0.398,0.5106
2830,0.231,0.769,0,-0.0516
2830,0,1,0,0
2831,0,1,0,0
2832,0,1,0,0
2833,0,0.709,0.291,0.6249
2833,0,1,0,0
2834,0.139,0.606,0.255,0.4404
2835,0.153,0.847,0,-0.4019
2835,0.423,0.577,0,-0.296
2836,0,1,0,0
2837,0.082,0.8,0.118,0.2263
2838,0,0.837,0.163,0.5106
2838,0,1,0,0
2839,0,0.61,0.39,0.7506
2839,0,0.602,0.398,0.5106
2839,0.231,0.769,0,-0.0516
2839,0,1,0,0
2840,0,1,0,0
2841,0.122,0.743,0.135,0.0701
2841,0,0.58,0.42,0.4404
2842,0,1,0,0
2842,0,0,0,0
2843,0,1,0,0
2844,0,1,0,0
2845,0,0,0,0
2845,0.403,0.597,0,-0.4019
2845,0,0.745,0.255,0.3384
2845,0.31,0.69,0,-0.4019
2845,0,1,0,0
2846,0,1,0,0
2847,0,0.922,0.078,0.1531
2848,0,1,0,0
2849,0.212,0.788,0,-0.7283
2849,0,1,0,0
2850,0,1,0,0
2851,0,0.837,0.163,0.5106
2851,0,1,0,0
2852,0.136,0.714,0.15,0.0516
2852,0.12,0.88,0,-0.0572
2853,0.148,0.852,0,-0.3818
2854,0,1,0,0
2855,0.148,0.852,0,-0.3818
2856,0,1,0,0
2857,0,1,0,0
2858,0,0.661,0.339,0.6249
2858,0,1,0,0
2859,0,0.82,0.18,0.5106
2859,0,1,0,0
2860,0,1,0,0
2861,0,1,0,0
2861,0,0.805,0.195,0.5267
2862,0,1,0,0
2863,0,0.61,0.39,0.7506
2863,0,0.602,0.398,0.5106
2863,0.231,0.769,0,-0.0516
2863,0,1,0,0
2864,0.088,0.797,0.116,0.1779
2865,0.333,0.667,0,-0.3595
2865,0,0.676,0.324,0.6458
2866,0,0.61,0.39,0.7506
2866,0,0.602,0.398,0.5106
2866,0.231,0.769,0,-0.0516
2866,0,1,0,0
2867,0,1,0,0
2867,0,0.89,0.11,0.2732
2868,0,0.61,0.39,0.7506
2868,0,0.602,0.398,0.5106
2868,0.231,0.769,0,-0.0516
2868,0,1,0,0
2869,0,1,0,0
2869,0,0.615,0.385,0.3612
2869,0.423,0.577,0,-0.296
2870,0,1,0,0
2870,0.167,0.833,0,-0.3818
2871,0.172,0.828,0,-0.4404
2872,0.14,0.86,0,-0.2755
2872,0,0.408,0.592,0.4404
2872,0,1,0,0
2873,0,0.769,0.231,0.2732
2873,0.255,0.745,0,-0.6249
2873,0,1,0,0
2874,0.468,0.532,0,-0.8313
2874,0,0.589,0.411,0.4926
2875,0.468,0.532,0,-0.8313
2875,0,0.589,0.411,0.4926
2876,0,1,0,0
2877,0,1,0,0
2878,0.172,0.828,0,-0.3612
2878,0,1,0,0
2879,0,1,0,0
2880,0.14,0.86,0,-0.2755
2880,0,0.408,0.592,0.4404
2880,0,1,0,0
2881,0.235,0.65,0.115,-0.5267
2881,0,1,0,0
2882,0,1,0,0
2882,0,0.805,0.195,0.5267
2883,0,1,0,0
2883,0,0.805,0.195,0.5267
2884,0,1,0,0
2884,0.258,0.44,0.302,0.128
2885,0.468,0.532,0,-0.8313
2885,0,0.589,0.411,0.4926
2886,0.153,0.847,0,-0.4019
2887,0.124,0.876,0,-0.4019
2888,0.14,0.86,0,-0.2755
2888,0,0.408,0.592,0.4404
2888,0,1,0,0
2889,0.161,0.839,0,-0.2755
2889,0,0.408,0.592,0.4404
2889,0,1,0,0
2890,0,1,0,0
2890,0,0.682,0.318,0.4215
2891,0,1,0,0
2892,0,0.851,0.149,0.4215
2893,0,1,0,0
2894,0,1,0,0
2895,0,1,0,0
2895,0,0.815,0.185,0.3612
2896,0,1,0,0
2896,0,0.805,0.195,0.5267
2897,0,1,0,0
2898,0.231,0.769,0,-0.7283
2898,0,1,0,0
2899,0,1,0,0
2899,0,0.805,0.195,0.5267
2900,0,1,0,0
2900,0,0.805,0.195,0.5267
2901,0,1,0,0
2901,0,0.805,0.195,0.5267
2902,0,1,0,0
2902,0,0.805,0.195,0.5267
2903,0,1,0,0
2903,0,0.805,0.195,0.5267
2904,0,1,0,0
2905,0,1,0,0
2906,0,1,0,0
2907,0,1,0,0
2907,0,0.83,0.17,0.5707
2908,0.148,0.852,0,-0.3818
2909,0,1,0,0
2910,0,1,0,0
2911,0,0.87,0.13,0.4019
2912,0.064,0.936,0,-0.0258
2913,0,0.847,0.153,0.4404
2914,0,1,0,0
2915,0,1,0,0
2915,0,0.839,0.161,0.3612
2916,0.437,0.563,0,-0.4767
2916,0,1,0,0
2917,0,1,0,0
2918,0.339,0.661,0,-0.4717
2918,0,1,0,0
2919,0,1,0,0
2919,0.5,0.5,0,-0.6124
2920,0.393,0.607,0,-0.6739
2920,0,0.549,0.451,0.4767
2921,0,1,0,0
2922,0,1,0,0
2922,0.365,0.635,0,-0.3182
2923,0,1,0,0
2924,0,0.85,0.15,0.3182
2924,0,1,0,0
2925,0,0.748,0.252,0.4019
2926,0,1,0,0
2927,0.092,0.699,0.21,0.4939
2928,0,1,0,0
2929,0,1,0,0
2930,0,1,0,0
2930,0,0.898,0.102,0.1511
2931,0,1,0,0
2931,0,0.192,0.808,0.6369
2932,0,1,0,0
2933,0,1,0,0
2934,0,1,0,0
2935,0.191,0.809,0,-0.3818
2936,0.167,0.833,0,-0.3818
2937,0.191,0.809,0,-0.3818
2938,0.191,0.809,0,-0.3818
2939,0.094,0.703,0.203,0.34
2939,0.194,0.806,0,-0.0516
2939,0,1,0,0
2940,0,1,0,0
2941,0.148,0.852,0,-0.3818
2942,0.124,0.876,0,-0.34
2943,0.148,0.852,0,-0.3818
2944,0.125,0.808,0.067,-0.128
2945,0,1,0,0
2946,0,1,0,0
2947,0,0.613,0.387,0.9313
2948,0,1,0,0
2948,0.268,0.732,0,-0.296
2949,0,1,0,0
2950,0,1,0,0
2951,0.092,0.699,0.21,0.4939
2952,0,1,0,0
2953,0,1,0,0
2954,0,0.76,0.24,0.2975
2954,0,1,0,0
2955,0,1,0,0
2956,0,1,0,0
2957,0,0.797,0.203,0.4215
2958,0.248,0.752,0,-0.5106
2958,0.42,0.58,0,-0.4404
2958,0,0.444,0.556,0.3612
2959,0,1,0,0
2960,0,1,0,0
2960,0.142,0.708,0.15,0.0516
2961,0,1,0,0
2962,0,0.898,0.102,0.3612
2963,0.148,0.852,0,-0.3818
2964,0,1,0,0
2965,0,1,0,0
2965,0.365,0.635,0,-0.3182
2966,0,1,0,0
2967,0.146,0.728,0.126,-0.1027
2968,0.153,0.714,0.133,-0.1027
2969,0,1,0,0
2970,0,1,0,0
2971,0.099,0.675,0.226,0.4939
2972,0.17,0.682,0.148,-0.1027
2973,0.194,0.556,0.25,0.1531
2973,0.342,0.658,0,-0.3818
2973,0.63,0.37,0,-0.7783
2974,0,1,0,0
2975,0,0.674,0.326,0.4404
2975,0,0.448,0.552,0.5719
2975,0,1,0,0
2976,0,1,0,0
2977,0,0.839,0.161,0.5058
2977,0,1,0,0
2978,0,1,0,0
2979,0,1,0,0
2980,0,1,0,0
2981,0,1,0,0
2982,0,1,0,0
2983,0,1,0,0
2983,0,0.737,0.263,0.3612
2984,0,1,0,0
2985,0.148,0.852,0,-0.3818
2986,0,1,0,0
2987,0.194,0.529,0.278,0.2263
2987,0,1,0,0
2988,0.086,0.914,0,-0.1779
2988,0,1,0,0
2989,0,1,0,0
2990,0,1,0,0
2991,0,1,0,0
2992,0,1,0,0
2993,0,1,0,0
2993,0,0.448,0.552,0.5719
2993,0,0.412,0.588,0.6467
2994,0,1,0,0
2995,0.143,0.857,0,-0.25
2995,0,1,0,0
2996,0,1,0,0
2997,0.138,0.862,0,-0.34
2997,0.429,0.571,0,-0.5423
2998,0,0.517,0.483,0.6808
2998,0.535,0.465,0,-0.3182
2998,0.345,0.655,0,-0.3875
2998,0,1,0,0
2999,0.103,0.71,0.187,0.3182
2999,0,0.709,0.291,0.5719
3000,0,1,0,0
3001,0,1,0,0
3001,0,0.775,0.225,0.4404
3002,0,1,0,0
3003,0,0.653,0.347,0.4926
3003,0.412,0.588,0,-0.2732
3003,0.583,0.417,0,-0.1027
3003,0.225,0.435,0.341,0.1531
3004,0.371,0.629,0,-0.7096
3004,0,0.488,0.512,0.6369
3005,0.153,0.847,0,-0.4019
3006,0,0.86,0.14,0.3818
3006,0,1,0,0
3007,0.069,0.857,0.074,0.0258
3007,0,1,0,0
3008,0.153,0.847,0,-0.4019
3009,0,0.517,0.483,0.4215
3009,0,1,0,0
3010,0,1,0,0
3011,0.153,0.847,0,-0.4019
3012,0,0.739,0.261,0.6486
3013,0,1,0,0
3014,0,1,0,0
3015,0,0.653,0.347,0.4926
3015,0.412,0.588,0,-0.2732
3015,0.583,0.417,0,-0.1027
3015,0.225,0.435,0.341,0.1531
3016,0,1,0,0
3017,0.22,0.719,0.062,-0.714
3017,0,1,0,0
3018,0,1,0,0
3019,0,1,0,0
3020,0.279,0.721,0,-0.4767
3020,0.185,0.815,0,-0.3612
3021,0.22,0.719,0.062,-0.714
3021,0,1,0,0
3022,0.153,0.847,0,-0.4019
3023,0,1,0,0
3024,0,0.817,0.183,0.144
3024,0,1,0,0
3025,0.172,0.828,0,-0.4019
3026,0,1,0,0
3026,0.262,0.738,0,-0.4926
3027,0,1,0,0
3028,0,1,0,0
3028,0.365,0.635,0,-0.3182
3029,0,1,0,0
3030,0,1,0,0
3031,0.148,0.852,0,-0.3818
3032,0,0.653,0.347,0.4926
3032,0.412,0.588,0,-0.2732
3032,0.583,0.417,0,-0.1027
3032,0.225,0.435,0.341,0.1531
3033,0.22,0.719,0.062,-0.714
3033,0,1,0,0
3034,0,1,0,0
3035,0,1,0,0
3035,0.242,0.63,0.128,-0.2681
3036,0,1,0,0
3036,0,0.213,0.787,0.5719
3036,0.305,0.297,0.398,0.1449
3037,0.481,0.519,0,-0.5719
3037,0,0.73,0.27,0.5719
3037,0,0.715,0.285,0.4926
3038,0,1,0,0
3039,0,1,0,0
3040,0,0.79,0.21,0.6113
3040,0.538,0.462,0,-0.5411
3041,0.22,0.719,0.062,-0.714
3041,0,1,0,0
3042,0.204,0.796,0,-0.3182
3042,0.214,0.786,0,-0.2924
3043,0.22,0.719,0.062,-0.714
3043,0,1,0,0
3044,0,0.904,0.096,0.1779
3045,0.178,0.69,0.132,-0.2023
3046,0,1,0,0
3047,0,1,0,0
3048,0.148,0.852,0,-0.3818
3049,0,1,0,0
3050,0,0.933,0.067,0.2023
3051,0,1,0,0
3051,0.213,0.588,0.199,-0.0516
3052,0,0.933,0.067,0.2023
3053,0,1,0,0
3054,0.136,0.864,0,-0.5106
3054,0,1,0,0
3055,0,1,0,0
3055,0.156,0.638,0.206,0.1779
3056,0,0.635,0.365,0.7845
3056,0,1,0,0
3057,0,1,0,0
3058,0,0.915,0.085,0.0772
3059,0,1,0,0
3060,0,1,0,0
3061,0.188,0.812,0,-0.5719
3061,0.521,0.211,0.268,-0.3802
3061,0,0,0,0
3062,0.124,0.772,0.104,-0.128
3062,0,1,0,0
3063,0.16,0.755,0.085,-0.3818
3063,0,1,0,0
3064,0,1,0,0
3065,0,1,0,0
3066,0,1,0,0
3067,0,1,0,0
3068,0.128,0.872,0,-0.2263
3068,0,1,0,0
3069,0.152,0.798,0.049,-0.5719
3070,0,1,0,0
3071,0.177,0.729,0.094,-0.3818
3071,0,1,0,0
3072,0,1,0,0
3073,0.386,0.614,0,-0.5267
3073,0.239,0.761,0,-0.296
3073,0,1,0,0
3074,0,0.635,0.365,0.7845
3074,0,1,0,0
3075,0,1,0,0
3076,0,1,0,0
3077,0,1,0,0
3078,0,0.818,0.182,0.481
3079,0,1,0,0
3080,0,1,0,0
3081,0,1,0,0
3082,0,0.621,0.379,0.6705
3082,0.231,0.578,0.191,-0.1585
3083,0,1,0,0
3084,0,0.375,0.625,0.516
3084,0,1,0,0
3085,0,1,0,0
3086,0.099,0.757,0.144,-0.0129
3086,0,1,0,0
3087,0,0.635,0.365,0.7845
3087,0,1,0,0
3088,0,0.772,0.228,0.6515
3089,0,1,0,0
3090,0.148,0.852,0,-0.3818
3091,0,0.592,0.408,0.7845
3091,0,1,0,0
3092,0.185,0.588,0.227,0
3092,0,1,0,0
3093,0.272,0.63,0.098,-0.6597
3094,0.045,0.638,0.317,0.8038
3095,0,0.872,0.128,0.4215
3095,0,1,0,0
3096,0.148,0.852,0,-0.3818
3097,0.065,0.668,0.267,0.7737
3098,0.148,0.852,0,-0.3818
3099,0.089,0.911,0,-0.1419
3099,0.298,0.484,0.218,-0.25
3100,0.237,0.621,0.141,-0.1779
3100,0,1,0,0
3101,0.256,0.744,0,-0.4767
3101,0,1,0,0
3101,0,0.278,0.722,0.886
3102,0,1,0,0
3103,0,1,0,0
3104,0.431,0.569,0,-0.9169
3105,0.222,0.701,0.077,-0.694
3106,0,1,0,0
3107,0,0.817,0.183,0.5859
3107,0,0.612,0.388,0.5859
3107,0,1,0,0
3108,0,1,0,0
3109,0,1,0,0
3110,0,1,0,0
3110,0,0.597,0.403,0.6597
3111,0.248,0.606,0.145,-0.4019
3111,0,1,0,0
3112,0,1,0,0
3113,0.148,0.852,0,-0.3818
3114,0.136,0.864,0,-0.296
3115,0,0.8,0.2,0.3612
3115,0,1,0,0
3116,0,0.86,0.14,0.3818
3116,0,1,0,0
3117,0.148,0.852,0,-0.3818
3118,0,1,0,0
3119,0,0,0,0
3119,0,0.87,0.13,0.2732
3119,0,1,0,0
3120,0.22,0.719,0.062,-0.714
3120,0,1,0,0
3121,0.205,0.795,0,-0.6571
3121,0,1,0,0
3121,0,0,0,0
3122,0.22,0.719,0.062,-0.714
3122,0,1,0,0
3123,0,1,0,0
3124,0.22,0.719,0.062,-0.714
3124,0,1,0,0
3125,0.148,0.852,0,-0.3818
3126,0.081,0.652,0.267,0.5508
3127,0.216,0.784,0,-0.296
3128,0.148,0.852,0,-0.3818
3129,0.239,0.694,0.067,-0.714
3129,0,1,0,0
3130,0.229,0.625,0.146,-0.1531
3130,0,1,0,0
3130,0.492,0.508,0,-0.4404
3131,0.27,0.697,0.033,-0.7797
3132,0.148,0.852,0,-0.3818
3133,0.124,0.876,0,-0.4767
3134,0,1,0,0
3134,0.268,0.732,0,-0.296
3135,0.124,0.772,0.104,-0.128
3135,0,1,0,0
3136,0,0.86,0.14,0.3818
3136,0,1,0,0
3137,0.148,0.852,0,-0.3818
3138,0.134,0.753,0.113,-0.128
3138,0,1,0,0
3139,0.176,0.824,0,-0.4951
3140,0.148,0.852,0,-0.3818
3141,0,1,0,0
3142,0.111,0.623,0.266,0.5023
3142,0,1,0,0
3143,0,0.86,0.14,0.3818
3143,0,1,0,0
3144,0.381,0.619,0,-0.6027
3144,0.267,0.733,0,-0.3716
3144,0,1,0,0
3145,0.383,0.511,0.106,-0.8221
3145,0,1,0,0
3146,0.237,0.763,0,-0.816
3147,0.394,0.606,0,-0.0772
3147,0.128,0.872,0,-0.3612
3148,0,0.823,0.177,0.4215
3149,0,1,0,0
3149,0.688,0.313,0,-0.296
3150,0.209,0.791,0,-0.2755
3150,0,0.674,0.326,0.4404
3150,0,1,0,0
3151,0.188,0.6,0.212,0.171
3152,0,0.517,0.483,0.4215
3152,0,1,0,0
3153,0,0.856,0.144,0.5719
3153,0,1,0,0
3154,0,0.885,0.115,0.4574
3154,0,0,0,0
3155,0.362,0.563,0.074,-0.8465
3155,0,1,0,0
3156,0,0.763,0.237,0.4215
3157,0,0.856,0.144,0.5719
3157,0,1,0,0
3158,0,0.797,0.203,0.4215
3159,0.121,0.879,0,-0.296
3159,0,1,0,0
3160,0,0.263,0.737,0.4215
3160,0,1,0,0
3161,0,0.653,0.347,0.4926
3161,0.412,0.588,0,-0.2732
3161,0.583,0.417,0,-0.1027
3161,0.225,0.435,0.341,0.1531
3162,0,1,0,0
3162,0.205,0.795,0,-0.4767
3163,0,0.702,0.298,0.6249
3163,0,0.863,0.137,0.2263
3164,0,0.856,0.144,0.5719
3164,0,1,0,0
3165,0,0.687,0.313,0.6249
3165,0.156,0.447,0.397,0.6486
3166,0.148,0.852,0,-0.3818
3167,0.148,0.852,0,-0.3818
3168,0,1,0,0
3169,0.413,0.473,0.114,-0.8221
3169,0,1,0,0
3170,0,0.769,0.231,0.7184
3171,0.188,0.812,0,-0.5719
3171,0.521,0.211,0.268,-0.3802
3171,0,0,0,0
3172,0.182,0.647,0.171,-0.0516
3172,0.254,0.58,0.167,-0.296
3172,0,1,0,0
3173,0.148,0.852,0,-0.3818
3174,0.162,0.838,0,-0.4019
3174,0,1,0,0
3175,0.384,0.43,0.186,-0.6705
3176,0,0.556,0.444,0.4926
3176,0.412,0.588,0,-0.2732
3176,0.583,0.417,0,-0.1027
3176,0.316,0.409,0.275,-0.1779
3177,0,1,0,0
3177,0,0.737,0.263,0.3612
3178,0,0.899,0.101,0.2263
3178,0,1,0,0
3179,0,1,0,0
3180,0,1,0,0
3180,0,0.476,0.524,0.8316
3181,0,1,0,0
3182,0.124,0.656,0.22,0.1953
3183,0,1,0,0
3184,0.167,0.833,0,-0.5267
3184,0,1,0,0
3185,0,1,0,0
3186,0,0.844,0.156,0.5719
3186,0.355,0.645,0,-0.5106
3187,0.198,0.802,0,-0.5719
3188,0.094,0.703,0.203,0.34
3188,0.194,0.806,0,-0.0516
3188,0,1,0,0
3189,0,1,0,0
3190,0,0.85,0.15,0.5983
3191,0.121,0.879,0,-0.296
3191,0,1,0,0
3192,0,0.897,0.103,0.3182
3193,0,1,0,0
3193,0,0.854,0.146,0.4404
3194,0.344,0.54,0.117,-0.6833
3195,0.12,0.88,0,-0.4588
3196,0.358,0.642,0,-0.4201
3196,0.18,0.82,0,-0.5106
3197,0.109,0.816,0.075,-0.2434
3198,0.094,0.703,0.203,0.34
3198,0.194,0.806,0,-0.0516
3198,0,1,0,0
3199,0.219,0.65,0.13,-0.2644
3200,0,1,0,0
3201,0.058,0.942,0,-0.0572
3202,0.28,0.72,0,-0.5423
3202,0,1,0,0
3203,0.148,0.852,0,-0.3818
3204,0,0,0,0
3204,0,0.861,0.139,0.4404
3205,0,1,0,0
3206,0.203,0.797,0,-0.4215
3206,0.286,0.714,0,-0.34
3207,0,1,0,0
3208,0,0.778,0.222,0.5719
3209,0,0.871,0.129,0.5719
3210,0,0.885,0.115,0.4574
3210,0,0,0,0
3211,0.121,0.879,0,-0.296
3211,0,1,0,0
3212,0.148,0.852,0,-0.3818
3213,0.22,0.78,0,-0.6555
3214,0.136,0.864,0,-0.296
3214,0,1,0,0
3215,0,1,0,0
3215,0,0.638,0.362,0.6739
3216,0.148,0.852,0,-0.3818
3217,0.092,0.908,0,-0.2057
3218,0,1,0,0
3218,0.575,0.425,0,-0.9217
3219,0.309,0.569,0.122,-0.7114
3220,0.196,0.402,0.402,0.4708
3220,0,0.784,0.216,0.0258
3220,0,1,0,0
3221,0.089,0.621,0.291,0.5508
3222,0.148,0.852,0,-0.3818
3223,0,1,0,0
3224,0.157,0.843,0,-0.3818
3225,0.148,0.852,0,-0.3818
3226,0,1,0,0
3227,0,0.909,0.091,0.296
3228,0,1,0,0
3229,0.148,0.852,0,-0.3818
3230,0,1,0,0
3231,0,1,0,0
3232,0.148,0.852,0,-0.3818
3233,0,1,0,0
3234,0.148,0.852,0,-0.3818
3235,0,1,0,0
3236,0.148,0.852,0,-0.3818
3237,0.148,0.852,0,-0.3818
3238,0.203,0.797,0,-0.4215
3238,0.286,0.714,0,-0.34
3239,0,1,0,0
3240,0,1,0,0
3241,0,1,0,0
3242,0.148,0.852,0,-0.3818
3243,0.12,0.88,0,-0.4588
3244,0.226,0.774,0,-0.7306
3245,0,1,0,0
3246,0,1,0,0
3247,0,1,0,0
3248,0,0.648,0.352,0.5859
3248,0,1,0,0
3249,0.178,0.822,0,-0.5994
3250,0.148,0.852,0,-0.3818
3251,0.148,0.852,0,-0.3818
3252,0,0.86,0.14,0.3818
3252,0,1,0,0
3253,0,0.806,0.194,0.481
3253,0,1,0,0
3254,0.148,0.852,0,-0.3818
3255,0.152,0.798,0.049,-0.5719
3256,0,1,0,0
3257,0.148,0.852,0,-0.3818
3258,0,1,0,0
3259,0,0.806,0.194,0.481
3259,0,1,0,0
3260,0,0.849,0.151,0.4939
3261,0,0.806,0.194,0.481
3261,0,1,0,0
3262,0,1,0,0
3263,0,0.806,0.194,0.481
3263,0,1,0,0
3264,0,1,0,0
3265,0,0.86,0.14,0.3818
3265,0,1,0,0
3266,0,0.806,0.194,0.481
3266,0,1,0,0
3267,0.12,0.88,0,-0.4588
3268,0.148,0.852,0,-0.3818
3269,0.148,0.852,0,-0.3818
3270,0,0.806,0.194,0.481
