sn,neg,neu,pos,compound
113,0,1,0,0
113,0.393,0.607,0,-0.5983
114,0,1,0,0
114,0.209,0.791,0,-0.2755
115,0,0.833,0.167,0.5574
116,0.19,0.581,0.229,0.296
116,0,1,0,0
117,0.118,0.882,0,-0.34
118,0.163,0.837,0,-0.5423
119,0.19,0.581,0.229,0.296
119,0,1,0,0
120,0.19,0.581,0.229,0.296
120,0,1,0,0
121,0.297,0.703,0,-0.2755
121,0,0.784,0.216,0.0258
121,0,1,0,0
121,0,0.575,0.425,0.5719
122,0.19,0.581,0.229,0.296
122,0,1,0,0
123,0.067,0.933,0,-0.0191
124,0.19,0.581,0.229,0.296
124,0,1,0,0
125,0.306,0.511,0.184,-0.2942
125,0,1,0,0
125,0.393,0.607,0,-0.5983
126,0,1,0,0
127,0.306,0.511,0.184,-0.2942
127,0,1,0,0
127,0.393,0.607,0,-0.5983
128,0.306,0.511,0.184,-0.2942
128,0,1,0,0
128,0.393,0.607,0,-0.5983
129,0.384,0.385,0.231,-0.2942
129,0,1,0,0
129,0.393,0.607,0,-0.5983
130,0,1,0,0
130,0,0.752,0.248,0.5106
130,0,0,0,0
131,0.19,0.581,0.229,0.296
131,0,1,0,0
132,0.269,0.731,0,-0.8047
132,0,1,0,0
133,0,1,0,0
134,0.19,0.581,0.229,0.296
134,0,1,0,0
135,0.118,0.882,0,-0.34
136,0.118,0.882,0,-0.34
137,0,1,0,0
138,0.128,0.872,0,-0.4466
139,0,1,0,0
140,0.142,0.858,0,-0.5106
140,0,0.523,0.477,0.4084
141,0.13,0.87,0,-0.34
142,0.302,0.698,0,-0.4648
142,0,1,0,0
143,0,1,0,0
144,0,0.762,0.238,0.6124
144,0,1,0,0
145,0,1,0,0
146,0.19,0.581,0.229,0.296
146,0,1,0,0
147,0.19,0.581,0.229,0.296
147,0,1,0,0
148,0.103,0.897,0,-0.1531
149,0,1,0,0
150,0,1,0,0
151,0.103,0.897,0,-0.1531
152,0,1,0,0
152,0.268,0.732,0,-0.296
153,0,1,0,0
154,0,0.828,0.172,0.4404
155,0.093,0.811,0.097,0.0258
156,0.19,0.581,0.229,0.296
156,0,1,0,0
157,0,1,0,0
157,0,0.6,0.4,0.7184
