sn,id,name,FinalCounty,location
145,721241231, marylener9 ,, #SisterPatriot
146,17562569, raulita ,, 
147,21622754, alta247 ,, 
148,3656965641, harrisonterri55 ,, 
149,3111642198, molmar54 ,, 
150,7.06E+17, RichardNov5th ,, Chicago IL
151,7.06E+17, RichardNov5th ,, Chicago IL
152,398354613, VirginiaInCal ,, CAUSA
153,7.04E+17, RobertaLSpence2 ,, New York USA
154,3826785916, susanbirchfiel1 ,, 
155,2183577439, ReallyDontTrump ,, 
156,345411282, beyondnothing74 ,, hostile territory
157,4700477725, tony_sanky ,, 
158,1343300730, jillybeangibson ,, Illinois USA
159,109404985, PhoenixWomanMN ,, 
160,3826785916, susanbirchfiel1 ,, 
161,143115107, truthglow ,, 
162,334672145, exciting2u ,, SC via DC
163,21619317, PITBULL95 ,, Hollywood FL
164,3066863551, dissident641 ,, 
165,3633358032, cali_liberal ,, Los Angeles CA
166,16426293, mampdx ,, Portland OR 
167,480506272, thmsintdesign ,, Cleveland  Ohio
168,715539325, eddiewynn7 ,, Staten Island NY 
169,709521655, heaveemetal ,, Denver Colorado. Fun Times
170,359617816, modrtmike ,, California
171,4676174161, MaryEll36176646 ,,  USA
172,532215125, JerryBarr7 ,, South Carolina
173,2911584743, CooperAdkins ,, Worthington KY
174,1201451755, WintropeMtheIII ,, Mildew Ohio
175,3903251179, KSmith233035 ,, 
176,112026869, adam_m_jcbs ,, Coram
177,15828358, dayvidgomez ,, California
178,7.15E+17, AaronSims31 ,, 
179,48378236, DanMKervick ,, Bow New Hampshire USA
180,1389824197, NiteSteppin ,, 
181,176492112, amyhendo_ ,, go noles
182,272068801, beleagueredst ,, Carlisle
183,2889924959, TrueFactsStated ,, undisclosed location near DC
184,1195709749, endhomelesnes ,, 
185,1246900826, cscstars ,, 
186,143630148, Dave_Lane12 ,, Ankeny IA
187,971694829, 279dds ,, 
188,469984784, DHCalifornicus ,, Manhattan Beach CA
189,937475790, HubbsJim ,, 
190,7.03E+17, NormanDMuelle ,, 
191,1930957724, 4Billy_Jack ,, #NEVERTRUMP.  EVER. 
192,1604590356, JoeyEDawes ,, Cave City AR
193,7.13E+17, ChristinaCao110 ,, USA
194,779097842, queenofaragon_ ,, Ad Astra Per Aspera?
195,2453605819, cherry_bethea ,, California
196,7.13E+17, AlbionsSeed ,, 
197,4060522877, 1911G_fan ,, A red state thankfully
198,3883733953, brujeff77 ,, 
199,142015635, Larryputt ,, VA/NC/SC
200,3358652128, arknightdale ,, Charlotte NC
201,49856621, Kelagon ,, 
202,65679563, valdigiacinto ,, East Hanover NJ
203,3404728337, Blondeadroit ,, 
204,122819549, JACK__SHAW ,, CHICAGO/OKC
205,2286014678, ggbootsrock ,, 
206,3610934895, Campaign_Watch ,, 
207,14372784, Mary4TRUMP ,, 
208,489423943, MikeCheatham1 ,, 
209,4926495803, wildflower6422 ,, 
210,88035633, meganmurp ,, Washington DC
211,4074814018, sunflowerwsnc ,, North Carolina USA
212,3824278154, cw6ft2ntx ,, Great State of Texas
213,859142317, TraciLEdwards ,, 
214,1732405544, Hornet238 ,, FEMA REGION V USA
215,3311276608, realtysteve ,, 
216,927071516, Defund_DC ,, Exceptional USA
217,4863597051, BiteMeTrump ,, 
218,4901489212, KimHarm0061 ,, Florida USA
219,14338727, ProphetPX ,, Leavenworth Kansas USA
220,4172031640, stridura ,, 
221,2416678106, thenatealdridge ,, Oklahoma
222,247147078, edwood3 ,, 
223,226344061, karpmj ,, New York NY
224,532690100, JWGOP ,, Austin Texas
225,478148698, truthlovin ,, Seattle Washington
226,15734625, rebob7 ,, 
227,180058006, PCalith ,, Boston MA
228,15464697, JuddLegum ,, Washington DC
229,2994784367, NasarzewskiP ,, Ypsilanti Michigan
230,2288643823, rolltide41306 ,, Red LevelAl
231,4912725674, eye2winner ,, Colorado City AZ
232,2651919698, akaiu1978 ,, 
233,811274366, noah_cline ,, New Hampshire USA
234,1576552782, FirstTeamSol ,, 
235,37975764, clt92 ,, Alameda CA
236,7.07E+17, CBScheel ,, California USA
237,7.06E+17, RJoann_simmons ,, 
238,4866494759, BuybyFelicia ,, SOUTH TEXAS
239,179180471, BlackDogRanch1 ,, USA
240,1419210638, DixonWAldridge ,, Cordova TN -- SC Native
241,4234882707, TerreTbehlog ,, Georgia USA
242,15700545, imfugus ,, Wisconsin
243,3434675854, springsunrize ,, 
244,1491573812, ScottRipem99 ,, New Jersey
245,4362459267, Chatman7Donna ,, Charleston WV
246,8859092, PressHerald ,, Portland Maine
247,7.04E+17, lifestrials2 ,, Salem OR
248,23228167, ibangel ,, 
249,2696042526, katscags62 ,, 
250,4465538597, JENYHOD ,, Ozark AL
251,18957055, FilmDoctor ,, Southern California
252,2784100399, LMM1952 ,, Ft. Myers area
253,381985881, nanjmay6478 ,, 
254,71545482, masspolitica ,, Boston
255,129949447, marty713 ,, WhereEverIWant2B
256,451055997, bsherrie64 ,, Pennsylvania USA
257,19849347, VicCampbell ,, 
258,547069280, GSCAtlanta ,, Atlanta GA / Fort Lauderdale
259,7.06E+17, williamevans101 ,, 
260,15700545, imfugus ,, Wisconsin
261,42741327, ukloner ,, 
262,58608119, GirlPainting ,, Houston TX USA
263,28248148, 1crazystlgal ,, Missouri
264,38896608, Broker617 ,, Florida USA
265,4855044657, ZiffyKat ,, 
266,1618641848, ChristieC733 ,, Texas USA
267,884311340, bfrasier1951 ,, 
268,34173875, lynette5151 ,, Decatur Illinois
269,22217443, cat_1012000 ,, Midwest (NEMOKS)
270,7.11E+17, skyjones55928 ,, 
271,40691581, rvnhoose ,, TN
272,2329260715, bigplaincircle ,, 
273,14463995, andsat ,, Seattle
274,1905590958, stevej132 ,, south carolina
275,117450444, ThomboyD ,, SoCal
276,374284455, Debramax ,, 
277,2936207691, meowupatree ,, 
278,7.11E+17, UghToHillary ,, 
279,553880367, MMcLeieer ,, PhoenixArizona
280,622800082, ladyjadeyjazz ,, Vancouver British Columbia
281,2463296298, TomTspevey ,, 
282,120025039, DestinyandBruce ,, 
283,88861017, YackyDoodleDnDy ,, America Central(Costa Rica)
284,2890980888, eads_john ,, 
285,619374514, KevinMillerPPH ,, Portland Maine
286,2209106522, ImperatorTruth ,, Boston MA
287,135857034, D_Raval ,, LondonUK
288,586308135, CommonSenseGuy2 ,, Central Iowa USA
289,1671674240, landj86DeeDee ,, Oregon USA
290,806010806, Faye0226 ,, Louisiana
291,20328741, Adam4004 ,, Missouri
292,67503749, CarolMBoothe ,, 
293,4516746447, alpstwt ,, 
294,1225818590, janrask ,, 
295,231156134, SlidinDelta ,, Ottawa Canada; Austin Texas
296,182606087, louis3288 ,, 
297,4291655293, vachilly64 ,, 
298,71807953, USAHipster ,, Texas
299,1051455504, arthur_ogle ,, Tulsa OK but proud Tennessean
300,2993449593, Portosj81J ,, Scottsdale AZ
301,526346146, TCuccio ,, 
302,73761932, Jack_Ham79 ,, Oklahoma
303,4346882714, robertinccnv1 ,, Carson City NV
304,1015828650, joeygrodesky48 ,, 
305,3458917277, KenYounos ,, 
306,287505023, justonepatriot ,, 
307,293577506, julio_rodz ,, Spain/Italy
308,7.17E+17, SherrieJanovsky ,, Joliet IL
309,432799442, lolhayd ,, 
310,159097782, RichandGod ,, Twitter church New Jerusalem 
311,7.13E+17, htpol1 ,, S.C.
312,7.03E+17, jennifermwalls ,, United States
313,3089894385, bbhall0906 ,, Palm Coast FL
314,7.02E+17, bigbare44 ,, 
315,3311840432, Goldthinkers ,, 
316,7.19E+17, dvfreddiem ,, 
317,4054895653, KarMaeArn ,, 
318,1375084074, 38_milo ,, New England 
319,563301375, FelineBengal ,, Morristown NJ
320,212543625, UncleRodge ,, High Point NC
321,2564111894, ShiversShana ,, TX
322,223896073, LauraWilsonGal ,, Southold NY
323,3081927276, TxGal_InCali ,, Southern California
324,57603422, Sanjay25_ ,, New York USA
325,3298172888, seasicksiren ,, 
326,7.06E+17, RebeccaFaussett ,, BUILD THAT WALL GOD BLESS YOU
327,3378101476, MercyL0V3 ,, 
328,18108462, timkowal ,, Huntington Beach CA
329,3311840432, Goldthinkers ,, 
330,381883950, victorbreaux ,, Louisiana
