SN,ID,NAME,FinalCounty,Location1,Location2,,,,,,
84,2934738424, Santino__ , Intercourse PA, Intercourse, PA,,,,,,
85,3151821750, CharlotteOnder1 , NEOhio, NEOhio,,,,,,,
86,1349829794, SableViews , rural Wisconsin USA, rural Wisconsin, USA,,,,,,
87,971704531, 6yyumj , USA, USA,,,,,,,
88,4221892522, rose10052 , mid west, mid west,,,,,,,
89,3060330596, Virginia_Girl57 , Virginia USA, Virginia, USA,,,,,,
90,573827350, janimuc , , ,,,,,,,
91,2431107457, LiveNewsyTweets , , ,,,,,,,
92,779229733, lambdallas , Dublin City Ireland, Dublin City, Ireland,,,,,,
93,187351126, KMCaton , , ,,,,,,,
94,3317319301, ktd101551 , , ,,,,,,,
95,7.07981E+17, SayPabon , Deep in the swomps , Deep in the swomps ,,,,,,,
96,4886272079, BettyGibet , , ,,,,,,,
97,2484502645, MarcZbikowski , Seattle, Seattle,,,,,,,
98,4605113535, julie_cappiello , , ,,,,,,,
99,1376035327, dgdocter12 , Seattle - The Emerald City, Seattle - The Emerald City,,,,,,,
100,7.09059E+17, jojos6Texas , , ,,,,,,,
101,135857034, D_Raval , LondonUK, London,UK,,,,,,
102,7.09059E+17, jojos6Texas , , ,,,,,,,
103,2492252882, MarlboroughRCC , Marlborough CT, Marlborough, CT,,,,,,
104,7.09059E+17, jojos6Texas , , ,,,,,,,
105,4871126956, ShadowSalute , , ,,,,,,,
106,24661757, 73degrees , People's Republic of Hellinois, People's Republic of Hellinois,,,,,,,
107,305017129, AModelsMom2011 , , ,,,,,,,
108,2887604717, thesmallbluebox , new york, new york,,,,,,,
109,2909746906, Jimpilner123 , , ,,,,,,,
110,394319229, LorenJ1975 , San Jose CA, San Jose, CA,,,,,,
111,4086424329, marineshamus , , ,,,,,,,
112,3720737542, Leetalklee , Florida USA, Florida, USA,,,,,,
113,3320545346, PennyHicks13 , Nevada USA, Nevada, USA,,,,,,
114,2877503969, mynameissquatch , Yukon OK, Yukon, OK,,,,,,
115,2925427781, clasky26 , , ,,,,,,,
116,3670164914, liuwailng423 , , ,,,,,,,
117,15502432, PartingThots , , ,,,,,,,
118,928182889, mom4JesusinNC , , ,,,,,,,
119,715539325, eddiewynn7 , Staten Island NY , Staten Island, NY ,,,,,,
120,2239721785, flossbish , , ,,,,,,,
121,3352899432, VaccinesCanHarm , , ,,,,,,,
122,1138674656, anaevans339 , AZ, AZ,,,,,,,
123,4422984375, philmonaco67 , United States, United States,,,,,,,
124,159122016, beneleo , Florida, Florida,,,,,,,
125,350355017, honokeana , Huntington Beach CA, Huntington Beach, CA,,,,,,
126,2852506181, SteveLikeANinja , far away from Bernie Sanders, far away from Bernie Sanders,,,,,,,
127,1934787661, NaphiSoc , Rockies MST, Rockies MST,,,,,,,
128,22337697, dragonhums , Washington State, Washington State,,,,,,,
129,4761415980, Purplehayes57 , Los Angeles CA, Los Angeles, CA,,,,,,
130,1379288282, peddoc63 , , ,,,,,,,
131,108475786, teekat1 , Missouri USA, Missouri, USA,,,,,,
132,108475786, teekat1 , Missouri USA, Missouri, USA,,,,,,
133,394817605, ElectedMob , San Diego, San Diego,,,,,,,
134,512756554, DreanVdre ,  Florida/Michigan my homestate,  Florida/Michigan my homestate,,,,,,,
135,3872826447, VenusDuque1 , , ,,,,,,,
136,65931246, good4politics , Fled DC on the road, Fled DC, on the road,,,,,,
137,17586312, fitethegoodfite , Republic of Texas, Republic of Texas,,,,,,,
138,14745490, Lawrence_n_DC , Washington DC, Washington, DC,,,,,,
139,1497052566, Smokyjo1 , , ,,,,,,,
140,926383879, vickijee , , ,,,,,,,
141,541371752, DrJerryFowler , WorldWide, WorldWide,,,,,,,
142,4912725674, eye2winner , Colorado City AZ, Colorado City, AZ,,,,,,
143,1905590958, stevej132 , south carolina, south carolina,,,,,,,
144,43368583, RightnTexas , Texas, Texas,,,,,,,
145,721241231, marylener9 , #SisterPatriot, #SisterPatriot,,,,,,,
146,17562569, raulita , , ,,,,,,,
147,21622754, alta247 , , ,,,,,,,
148,3656965641, harrisonterri55 , , ,,,,,,,
149,3111642198, molmar54 , , ,,,,,,,
150,7.05948E+17, RichardNov5th , Chicago IL, Chicago, IL,,,,,,
151,7.05948E+17, RichardNov5th , Chicago IL, Chicago, IL,,,,,,
152,398354613, VirginiaInCal , CAUSA, CA,USA,,,,,,
153,7.04125E+17, RobertaLSpence2 , New York USA, New York, USA,,,,,,
154,3826785916, susanbirchfiel1 , , ,,,,,,,
155,2183577439, ReallyDontTrump , , ,,,,,,,
156,345411282, beyondnothing74 , hostile territory, hostile territory,,,,,,,
157,4700477725, tony_sanky , , ,,,,,,,
158,1343300730, jillybeangibson , Illinois USA, Illinois, USA,,,,,,
159,109404985, PhoenixWomanMN , , ,,,,,,,
160,3826785916, susanbirchfiel1 , , ,,,,,,,
161,143115107, truthglow , , ,,,,,,,
162,334672145, exciting2u , SC via DC, SC via DC,,,,,,,
163,21619317, PITBULL95 , Hollywood FL, Hollywood, FL,,,,,,
164,3066863551, dissident641 , , ,,,,,,,
165,3633358032, cali_liberal , Los Angeles CA, Los Angeles, CA,,,,,,
166,16426293, mampdx , Portland OR , Portland, OR ,,,,,,
167,480506272, thmsintdesign , Cleveland  Ohio, Cleveland , Ohio,,,,,,
168,715539325, eddiewynn7 , Staten Island NY , Staten Island, NY ,,,,,,
169,709521655, heaveemetal , Denver Colorado. Fun Times, Denver Colorado. Fun Times,,,,,,,
170,359617816, modrtmike , California, California,,,,,,,
171,4676174161, MaryEll36176646 ,  USA,  USA,,,,,,,
172,532215125, JerryBarr7 , South Carolina, South Carolina,,,,,,,
173,2911584743, CooperAdkins , Worthington KY, Worthington, KY,,,,,,
174,1201451755, WintropeMtheIII , Mildew Ohio, Mildew, Ohio,,,,,,
175,3903251179, KSmith233035 , , ,,,,,,,
176,112026869, adam_m_jcbs , Coram, Coram,,,,,,,
177,15828358, dayvidgomez , California, California,,,,,,,
178,7.14908E+17, AaronSims31 , , ,,,,,,,
179,48378236, DanMKervick , Bow New Hampshire USA, Bow, New Hampshire, USA,,,,,
180,1389824197, NiteSteppin , , ,,,,,,,
181,176492112, amyhendo_ , go noles, go noles,,,,,,,
182,272068801, beleagueredst , Carlisle, Carlisle,,,,,,,
183,2889924959, TrueFactsStated , undisclosed location near DC, undisclosed location near DC,,,,,,,
184,1195709749, endhomelesnes , , ,,,,,,,
185,1246900826, cscstars , , ,,,,,,,
186,143630148, Dave_Lane12 , Ankeny IA, Ankeny, IA,,,,,,
187,971694829, 279dds , , ,,,,,,,
188,469984784, DHCalifornicus , Manhattan Beach CA, Manhattan Beach, CA,,,,,,
189,937475790, HubbsJim , , ,,,,,,,
190,7.03405E+17, NormanDMuelle , , ,,,,,,,
191,1930957724, 4Billy_Jack , #NEVERTRUMP.  EVER. , #NEVERTRUMP.  EVER. ,,,,,,,
192,1604590356, JoeyEDawes , Cave City AR, Cave City, AR,,,,,,
193,7.13404E+17, ChristinaCao110 , USA, USA,,,,,,,
194,779097842, queenofaragon_ , Ad Astra Per Aspera?, Ad Astra Per Aspera?,,,,,,,
